ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{built-in method posix.readlink}
1,0.000,0.000,0.000,0.000,{built-in method posix.uname}
2715,0.000,0.000,0.000,0.000,{built-in method posix.fspath}
4093,0.001,0.000,0.001,0.000,{built-in method math.atan}
232089,0.040,0.000,0.040,0.000,{built-in method math.isclose}
29564,0.004,0.000,0.004,0.000,{built-in method math.sqrt}
1,0.001,0.001,0.001,0.001,{method 'readlines' of '_io._IOBase' objects}
5,0.000,0.000,0.000,0.000,{built-in method _struct.calcsize}
110,0.000,0.000,0.000,0.000,{built-in method _thread.allocate_lock}
150,0.000,0.000,0.000,0.000,{built-in method _thread.get_ident}
62,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
523,0.000,0.000,0.000,0.000,{built-in method _sre.unicode_iscased}
395,0.000,0.000,0.000,0.000,{built-in method _sre.unicode_tolower}
214,0.000,0.000,0.000,0.000,{method 'match' of 're.Pattern' objects}
892,0.001,0.000,0.001,0.000,{method 'search' of 're.Pattern' objects}
200,0.000,0.000,0.000,0.000,{method 'sub' of 're.Pattern' objects}
1,0.000,0.000,0.000,0.000,{method 'findall' of 're.Pattern' objects}
390,0.000,0.000,0.000,0.000,{method 'split' of 're.Pattern' objects}
5202,0.001,0.000,0.001,0.000,{method 'group' of 're.Match' objects}
12,0.000,0.000,0.000,0.000,{method 'end' of 're.Match' objects}
12,0.000,0.000,0.000,0.000,{method 'groupdict' of 're.Match' objects}
190,0.000,0.000,0.000,0.000,{built-in method _stat.S_ISDIR}
20,0.000,0.000,0.000,0.000,{built-in method _stat.S_ISREG}
38,0.000,0.000,0.000,0.000,{built-in method _stat.S_ISLNK}
142,0.001,0.000,0.001,0.000,{built-in method io.open}
43,0.001,0.000,0.001,0.000,{built-in method io.open_code}
334841,0.026,0.000,0.026,0.000,{built-in method _operator.index}
1,0.000,0.000,0.000,0.000,{method 'toordinal' of 'datetime.date' objects}
50,0.000,0.000,0.000,0.000,{built-in method _codecs.utf_8_decode}
10,0.000,0.000,0.000,0.000,{built-in method _abc._abc_init}
